Source,Target,Weight,Type
Anon_Clara_1864_1,Anon_Clara_1864_2,4,undirected
Anon_Clara_1864_1,Anon_Clara_1864_13,4,undirected
Anon_Clara_1864_1,Anon_Clara_1864_14,2,undirected
Anon_Clara_1864_1,Anon_Clara_1864_15,6,undirected
Anon_Clara_1864_2,Anon_Clara_1864_1,4,undirected
Anon_Clara_1864_2,Anon_Clara_1864_3,2,undirected
Anon_Clara_1864_2,Anon_Clara_1864_4,2,undirected
Anon_Clara_1864_2,Anon_Clara_1864_12,2,undirected
Anon_Clara_1864_2,Anon_Clara_1864_13,2,undirected
Anon_Clara_1864_2,Hardy_Tess_1891_8,1,undirected
Anon_Clara_1864_3,Anon_Clara_1864_2,2,undirected
Anon_Clara_1864_3,Anon_Clara_1864_4,6,undirected
Anon_Clara_1864_3,Anon_Clara_1864_13,1,undirected
Anon_Clara_1864_4,Anon_Clara_1864_2,2,undirected
Anon_Clara_1864_4,Anon_Clara_1864_3,6,undirected
Anon_Clara_1864_4,Anon_Clara_1864_11,3,undirected
Anon_Clara_1864_4,Anon_Clara_1864_19,3,undirected
Anon_Clara_1864_4,Blackmore_Lorna_1869_1,2,undirected
Anon_Clara_1864_5,Anon_Clara_1864_10,5,undirected
Anon_Clara_1864_5,Anon_Clara_1864_11,2,undirected
Anon_Clara_1864_5,Anon_Clara_1864_16,1,undirected
Anon_Clara_1864_5,Anon_Clara_1864_17,1,undirected
Anon_Clara_1864_6,Anon_Clara_1864_8,1,undirected
Anon_Clara_1864_6,Anon_Clara_1864_9,4,undirected
Anon_Clara_1864_6,Anon_Clara_1864_11,2,undirected
Anon_Clara_1864_6,Anon_Clara_1864_16,3,undirected
Anon_Clara_1864_7,Anon_Clara_1864_8,4,undirected
Anon_Clara_1864_7,Anon_Clara_1864_10,4,undirected
Anon_Clara_1864_7,Blackmore_Erema_1877_7,1,undirected
Anon_Clara_1864_8,Anon_Clara_1864_6,1,undirected
Anon_Clara_1864_8,Anon_Clara_1864_7,4,undirected
Anon_Clara_1864_8,Anon_Clara_1864_10,3,undirected
Anon_Clara_1864_9,Anon_Clara_1864_6,4,undirected
Anon_Clara_1864_9,Anon_Clara_1864_16,2,undirected
Anon_Clara_1864_9,Anon_Clara_1864_18,1,undirected
Anon_Clara_1864_10,Anon_Clara_1864_5,5,undirected
Anon_Clara_1864_10,Anon_Clara_1864_7,4,undirected
Anon_Clara_1864_10,Anon_Clara_1864_8,3,undirected
Anon_Clara_1864_10,Anon_Clara_1864_12,3,undirected
Anon_Clara_1864_10,Anon_Clara_1864_17,5,undirected
Anon_Clara_1864_11,Anon_Clara_1864_4,3,undirected
Anon_Clara_1864_11,Anon_Clara_1864_5,2,undirected
Anon_Clara_1864_11,Anon_Clara_1864_6,2,undirected
Anon_Clara_1864_11,Anon_Clara_1864_16,6,undirected
Anon_Clara_1864_11,Anon_Clara_1864_18,4,undirected
Anon_Clara_1864_12,Anon_Clara_1864_2,2,undirected
Anon_Clara_1864_12,Anon_Clara_1864_10,3,undirected
Anon_Clara_1864_12,Anon_Clara_1864_16,1,undirected
Anon_Clara_1864_13,Anon_Clara_1864_1,4,undirected
Anon_Clara_1864_13,Anon_Clara_1864_2,2,undirected
Anon_Clara_1864_13,Anon_Clara_1864_3,1,undirected
Anon_Clara_1864_13,Anon_Clara_1864_14,1,undirected
Anon_Clara_1864_13,Anon_Clara_1864_15,5,undirected
Anon_Clara_1864_13,Corelli_Innocent_1914_11,2,undirected
Anon_Clara_1864_13,Corelli_Satan_1895_9,1,undirected
Anon_Clara_1864_14,Anon_Clara_1864_1,2,undirected
Anon_Clara_1864_14,Anon_Clara_1864_13,1,undirected
Anon_Clara_1864_14,Anon_Clara_1864_15,4,undirected
Anon_Clara_1864_14,Anon_Clara_1864_19,2,undirected
Anon_Clara_1864_15,Anon_Clara_1864_1,6,undirected
Anon_Clara_1864_15,Anon_Clara_1864_13,5,undirected
Anon_Clara_1864_15,Anon_Clara_1864_14,4,undirected
Anon_Clara_1864_16,Anon_Clara_1864_5,1,undirected
Anon_Clara_1864_16,Anon_Clara_1864_6,3,undirected
Anon_Clara_1864_16,Anon_Clara_1864_9,2,undirected
Anon_Clara_1864_16,Anon_Clara_1864_11,6,undirected
Anon_Clara_1864_16,Anon_Clara_1864_12,1,undirected
Anon_Clara_1864_16,Anon_Clara_1864_17,5,undirected
Anon_Clara_1864_16,Blackmore_Springhaven_1887_14,1,undirected
Anon_Clara_1864_17,Anon_Clara_1864_5,1,undirected
Anon_Clara_1864_17,Anon_Clara_1864_10,5,undirected
Anon_Clara_1864_17,Anon_Clara_1864_16,5,undirected
Anon_Clara_1864_18,Anon_Clara_1864_9,1,undirected
Anon_Clara_1864_18,Anon_Clara_1864_11,4,undirected
Anon_Clara_1864_18,Corelli_Innocent_1914_11,1,undirected
Anon_Clara_1864_18,Corelli_Romance_1886_4,2,undirected
Anon_Clara_1864_19,Anon_Clara_1864_4,3,undirected
Anon_Clara_1864_19,Anon_Clara_1864_14,2,undirected
Anon_Clara_1864_19,Blackmore_Lorna_1869_15,1,undirected
Barclay_Ladies_1917_1,Barclay_Ladies_1917_3,5,undirected
Barclay_Ladies_1917_1,Barclay_Ladies_1917_6,4,undirected
Barclay_Ladies_1917_1,Barclay_Ladies_1917_8,3,undirected
Barclay_Ladies_1917_2,Barclay_Ladies_1917_3,2,undirected
Barclay_Ladies_1917_2,Barclay_Ladies_1917_10,1,undirected
Barclay_Ladies_1917_2,Barclay_Ladies_1917_11,3,undirected
Barclay_Ladies_1917_3,Barclay_Ladies_1917_1,5,undirected
Barclay_Ladies_1917_3,Barclay_Ladies_1917_2,2,undirected
Barclay_Ladies_1917_3,Barclay_Ladies_1917_7,6,undirected
Barclay_Ladies_1917_3,Barclay_Ladies_1917_8,1,undirected
Barclay_Ladies_1917_3,Barclay_Ladies_1917_11,2,undirected
Barclay_Ladies_1917_3,Barclay_Ladies_1917_12,3,undirected
Barclay_Ladies_1917_4,Barclay_Ladies_1917_5,2,undirected
Barclay_Ladies_1917_4,Barclay_Ladies_1917_6,3,undirected
Barclay_Ladies_1917_4,Barclay_Ladies_1917_11,1,undirected
Barclay_Ladies_1917_5,Barclay_Ladies_1917_4,2,undirected
Barclay_Ladies_1917_5,Barclay_Ladies_1917_8,5,undirected
Barclay_Ladies_1917_5,Barclay_Ladies_1917_9,1,undirected
Barclay_Ladies_1917_5,Barclay_Ladies_1917_10,3,undirected
Barclay_Ladies_1917_5,Barclay_Ladies_1917_11,3,undirected
Barclay_Ladies_1917_6,Barclay_Ladies_1917_1,4,undirected
Barclay_Ladies_1917_6,Barclay_Ladies_1917_4,3,undirected
Barclay_Ladies_1917_6,Barclay_Ladies_1917_8,1,undirected
Barclay_Ladies_1917_6,Barclay_Ladies_1917_11,2,undirected
Barclay_Ladies_1917_7,Barclay_Ladies_1917_3,6,undirected
Barclay_Ladies_1917_7,Barclay_Ladies_1917_8,1,undirected
Barclay_Ladies_1917_7,Barclay_Ladies_1917_11,2,undirected
Barclay_Ladies_1917_8,Barclay_Ladies_1917_1,3,undirected
Barclay_Ladies_1917_8,Barclay_Ladies_1917_3,1,undirected
Barclay_Ladies_1917_8,Barclay_Ladies_1917_5,5,undirected
Barclay_Ladies_1917_8,Barclay_Ladies_1917_6,1,undirected
Barclay_Ladies_1917_8,Barclay_Ladies_1917_7,1,undirected
Barclay_Ladies_1917_8,Barclay_Ladies_1917_9,2,undirected
Barclay_Ladies_1917_8,Barclay_Ladies_1917_11,6,undirected
Barclay_Ladies_1917_9,Barclay_Ladies_1917_5,1,undirected
Barclay_Ladies_1917_9,Barclay_Ladies_1917_8,2,undirected
Barclay_Ladies_1917_9,Barclay_Ladies_1917_11,3,undirected
Barclay_Ladies_1917_10,Barclay_Ladies_1917_2,1,undirected
Barclay_Ladies_1917_10,Barclay_Ladies_1917_5,3,undirected
Barclay_Ladies_1917_10,Barclay_Ladies_1917_11,3,undirected
Barclay_Ladies_1917_10,Barclay_Ladies_1917_12,2,undirected
Barclay_Ladies_1917_10,Barclay_Rosary_1909_4,1,undirected
Barclay_Ladies_1917_11,Barclay_Ladies_1917_2,3,undirected
Barclay_Ladies_1917_11,Barclay_Ladies_1917_3,2,undirected
Barclay_Ladies_1917_11,Barclay_Ladies_1917_4,1,undirected
Barclay_Ladies_1917_11,Barclay_Ladies_1917_5,3,undirected
Barclay_Ladies_1917_11,Barclay_Ladies_1917_6,2,undirected
Barclay_Ladies_1917_11,Barclay_Ladies_1917_7,2,undirected
Barclay_Ladies_1917_11,Barclay_Ladies_1917_8,6,undirected
Barclay_Ladies_1917_11,Barclay_Ladies_1917_9,3,undirected
Barclay_Ladies_1917_11,Barclay_Ladies_1917_10,3,undirected
Barclay_Ladies_1917_11,Barclay_Ladies_1917_12,2,undirected
Barclay_Ladies_1917_12,Barclay_Ladies_1917_3,3,undirected
Barclay_Ladies_1917_12,Barclay_Ladies_1917_10,2,undirected
Barclay_Ladies_1917_12,Barclay_Ladies_1917_11,2,undirected
Barclay_Postern_1911_1,Barclay_Postern_1911_3,1,undirected
Barclay_Postern_1911_1,Barclay_Rosary_1909_3,3,undirected
Barclay_Postern_1911_1,Ward_Ashe_1905_7,2,undirected
Barclay_Postern_1911_2,Barclay_Rosary_1909_9,3,undirected
Barclay_Postern_1911_2,Bennet_Imperial_1930_20,2,undirected
Barclay_Postern_1911_2,Corelli_Innocent_1914_4,1,undirected
Barclay_Postern_1911_3,Barclay_Postern_1911_1,1,undirected
Barclay_Postern_1911_3,Barclay_Rosary_1909_3,1,undirected
Barclay_Postern_1911_3,Barclay_Rosary_1909_6,2,undirected
Barclay_Postern_1911_3,Barclay_Rosary_1909_9,3,undirected
Barclay_Rosary_1909_1,Barclay_Rosary_1909_2,3,undirected
Barclay_Rosary_1909_1,Barclay_Rosary_1909_9,2,undirected
Barclay_Rosary_1909_1,Ward_Ashe_1905_4,1,undirected
Barclay_Rosary_1909_2,Barclay_Rosary_1909_1,3,undirected
Barclay_Rosary_1909_2,Barclay_Rosary_1909_4,2,undirected
Barclay_Rosary_1909_2,Barclay_Rosary_1909_5,3,undirected
Barclay_Rosary_1909_2,Barclay_Rosary_1909_6,3,undirected
Barclay_Rosary_1909_2,Barclay_Rosary_1909_8,1,undirected
Barclay_Rosary_1909_2,Barclay_Rosary_1909_9,6,undirected
Barclay_Rosary_1909_3,Barclay_Postern_1911_1,3,undirected
Barclay_Rosary_1909_3,Barclay_Postern_1911_3,1,undirected
Barclay_Rosary_1909_3,Barclay_Rosary_1909_6,4,undirected
Barclay_Rosary_1909_3,Barclay_Rosary_1909_7,2,undirected
Barclay_Rosary_1909_3,Barclay_Rosary_1909_9,5,undirected
Barclay_Rosary_1909_3,Bennet_Imperial_1930_20,1,undirected
Barclay_Rosary_1909_4,Barclay_Ladies_1917_10,1,undirected
Barclay_Rosary_1909_4,Barclay_Rosary_1909_2,2,undirected
Barclay_Rosary_1909_4,Ward_Ashe_1905_14,3,undirected
Barclay_Rosary_1909_5,Barclay_Rosary_1909_2,3,undirected
Barclay_Rosary_1909_5,Barclay_Rosary_1909_8,3,undirected
Barclay_Rosary_1909_5,Barclay_Rosary_1909_10,3,undirected
Barclay_Rosary_1909_5,Meredith_Feverel_1859_11,3,undirected
Barclay_Rosary_1909_6,Barclay_Postern_1911_3,2,undirected
Barclay_Rosary_1909_6,Barclay_Rosary_1909_2,3,undirected
Barclay_Rosary_1909_6,Barclay_Rosary_1909_3,4,undirected
Barclay_Rosary_1909_6,Barclay_Rosary_1909_7,6,undirected
Barclay_Rosary_1909_6,Barclay_Rosary_1909_10,1,undirected
Barclay_Rosary_1909_7,Barclay_Rosary_1909_3,2,undirected
Barclay_Rosary_1909_7,Barclay_Rosary_1909_6,6,undirected
Barclay_Rosary_1909_7,Barclay_Rosary_1909_8,2,undirected
Barclay_Rosary_1909_7,Barclay_Rosary_1909_10,1,undirected
Barclay_Rosary_1909_8,Barclay_Rosary_1909_2,1,undirected
Barclay_Rosary_1909_8,Barclay_Rosary_1909_5,3,undirected
Barclay_Rosary_1909_8,Barclay_Rosary_1909_7,2,undirected
Barclay_Rosary_1909_9,Barclay_Postern_1911_2,3,undirected
Barclay_Rosary_1909_9,Barclay_Postern_1911_3,3,undirected
Barclay_Rosary_1909_9,Barclay_Rosary_1909_1,2,undirected
Barclay_Rosary_1909_9,Barclay_Rosary_1909_2,6,undirected
Barclay_Rosary_1909_9,Barclay_Rosary_1909_3,5,undirected
Barclay_Rosary_1909_9,Barclay_Rosary_1909_10,4,undirected
Barclay_Rosary_1909_9,Haggard_Mines_1885_1,2,undirected
Barclay_Rosary_1909_9,Schreiner_Farm_1883_7,2,undirected
Barclay_Rosary_1909_9,Schreiner_Farm_1883_8,2,undirected
Barclay_Rosary_1909_9,Schreiner_Undine_1929_4,2,undirected
Barclay_Rosary_1909_10,Barclay_Rosary_1909_5,3,undirected
Barclay_Rosary_1909_10,Barclay_Rosary_1909_6,1,undirected
Barclay_Rosary_1909_10,Barclay_Rosary_1909_7,1,undirected
Barclay_Rosary_1909_10,Barclay_Rosary_1909_9,4,undirected
Bennet_Babylon_1902_1,Bennet_Babylon_1902_2,1,undirected
Bennet_Babylon_1902_1,Bennet_Babylon_1902_5,5,undirected
Bennet_Babylon_1902_1,Meredith_Richmond_1871_8,2,undirected
