"Berzsenyi-Daniel_level-4" "Berzsenyi-Daniel_level-5" "Dobrentei-Gabor_level-4" "Dobrentei-Gabor_level-5" "Kazinczy-Ferenc_level-4" "Kazinczy-Ferenc_level-5" "Marton-Jozsef_level-4" "Marton-Jozsef_level-5" "Raday-I-Gedeon_level-4" "Raday-I-Gedeon_level-5" "Raday-II-Gedeon_level-4" "Raday-II-Gedeon_level-5" "Szentmiklossy-Alajos_level-4" "Szentmiklossy-Alajos_level-5" "Szentpeteri-Erzsebet_level-4" "Szentpeteri-Erzsebet_level-5" "Szentpeteri-Judit_level-4" "Szentpeteri-Judit_level-5" "Szentpeteri-Katalin_level-4" "Szentpeteri-Katalin_level-5"
"„" 3.27868852459016 2.19298245614035 3.42252644679527 3.26864147088866 2.01005025125628 3.95647873392681 1.76056338028169 3 0 1.94647201946472 1.83150183150183 3.92156862745098 1.36986301369863 6.23885918003565 3.98230088495575 5.14096185737977 0.33003300330033 0.199600798403194 0 0.354609929078014
"az" 0.819672131147541 0 1.61792159303049 1.63432073544433 1.00502512562814 1.08803165182987 2.11267605633803 2 4.47761194029851 5.59610705596107 6.22710622710623 0.980392156862745 3.42465753424658 1.24777183600713 3.98230088495575 5.4726368159204 1.65016501650165 2.9940119760479 2.56410256410256 2.4822695035461
"a‚" 2.45901639344262 1.31578947368421 0 3.88151174668029 4.02010050251256 4.25321463897132 5.63380281690141 8 0 0 0 0 2.73972602739726 1.60427807486631 0 0 0 0 0 0
"s" 0.819672131147541 0.87719298245614 2.36465463596764 2.14504596527068 3.51758793969849 2.67062314540059 1.05633802816901 1 0 1.45985401459854 1.0989010989011 1.96078431372549 1.36986301369863 3.03030303030303 0.442477876106195 0 0.99009900990099 1.19760479041916 0 0
"hogy" 1.63934426229508 0.87719298245614 0.622277535780958 0.919305413687436 2.01005025125628 2.27497527200791 2.11267605633803 0 1.49253731343284 0.97323600973236 2.56410256410256 2.94117647058824 0 1.24777183600713 0.442477876106195 2.48756218905473 2.31023102310231 3.1936127744511 1.28205128205128 4.25531914893617
"k„" 1.63934426229508 3.07017543859649 2.30242688238955 2.65577119509704 2.51256281407035 1.38476755687438 1.05633802816901 1 0 0.24330900243309 1.0989010989011 0 0.684931506849315 0.71301247771836 0.884955752212389 0.165837479270315 0 0 1.28205128205128 0
"n" 1.63934426229508 1.31578947368421 1.30678282514001 2.65577119509704 1.00502512562814 1.87932739861523 0.704225352112676 1 1.49253731343284 1.45985401459854 0.366300366300366 0 0.684931506849315 2.13903743315508 0.442477876106195 0.165837479270315 0 0 0 0.354609929078014
"nem" 1.63934426229508 1.31578947368421 0.684505289359054 0.408580183861083 2.51256281407035 0.890207715133531 1.76056338028169 0 0 1.21654501216545 0 0 0.684931506849315 1.24777183600713 0 1.49253731343284 2.31023102310231 1.59680638722555 1.28205128205128 0.709219858156028
"‚" 0 0 0.808960796515246 1.83861082737487 2.01005025125628 3.16518298714144 2.8169014084507 2 0 0 0 0 2.05479452054795 2.67379679144385 0 0 0.33003300330033 0 0 0
"t" 0.819672131147541 1.75438596491228 1.80460485376478 1.43003064351379 0.50251256281407 1.28585558852621 1.05633802816901 1 0 0.24330900243309 0 0 0.684931506849315 0.89126559714795 0 0.33167495854063 0.33003300330033 0.199600798403194 0 0.709219858156028
"m„" 0 0.43859649122807 1.30678282514001 2.14504596527068 1.50753768844221 0.791295746785361 1.40845070422535 1 0 1.45985401459854 1.83150183150183 0 0.684931506849315 0.71301247771836 0 0 0 0 0 0
"is" 0.819672131147541 0.87719298245614 1.12009956440573 0.408580183861083 0.50251256281407 0.395647873392681 0.704225352112676 1 0 0 1.83150183150183 1.96078431372549 0.684931506849315 0.71301247771836 0 0.165837479270315 2.31023102310231 1.79640718562874 0 0.709219858156028
"a" 0 0.87719298245614 4.23148724331052 0.204290091930541 0 0.0989119683481701 0.352112676056338 0 1.49253731343284 0.24330900243309 0 0 0 0 1.32743362831858 0 2.97029702970297 2.39520958083832 0 0
"meg" 0 0.43859649122807 0.311138767890479 0.102145045965271 1.00502512562814 0.791295746785361 0.352112676056338 0 1.49253731343284 0.48661800486618 1.0989010989011 0 0 0.35650623885918 0 2.1558872305141 1.32013201320132 1.79640718562874 0 1.77304964539007
"l" 0.819672131147541 0.87719298245614 0.560049782202863 1.22574055158325 3.01507537688442 0.890207715133531 3.16901408450704 2 0 2.67639902676399 0.366300366300366 0 2.73972602739726 0.89126559714795 0.884955752212389 0.497512437810945 0.99009900990099 1.39720558882236 0 0.354609929078014
"kedves" 0 2.19298245614035 0.0622277535780958 0.102145045965271 0 0.0989119683481701 0 0 0 0 3.66300366300366 0.980392156862745 0.684931506849315 0.35650623885918 2.65486725663717 4.14593698175788 3.63036303630363 2.9940119760479 0 0.709219858156028
