Source,Target,Weight,Type
Berzsenyi-Daniel_level-1,Berzsenyi-Daniel_level-12,2,undirected
Berzsenyi-Daniel_level-1,Berzsenyi-Daniel_level-14,3,undirected
Berzsenyi-Daniel_level-1,Marton-Jozsef_level-1,1,undirected
Berzsenyi-Daniel_level-10,Berzsenyi-Daniel_level-12,1,undirected
Berzsenyi-Daniel_level-10,Berzsenyi-Daniel_level-14,3,undirected
Berzsenyi-Daniel_level-10,Berzsenyi-Daniel_level-15,2,undirected
Berzsenyi-Daniel_level-10,Berzsenyi-Daniel_level-16,3,undirected
Berzsenyi-Daniel_level-10,Berzsenyi-Daniel_level-17,1,undirected
Berzsenyi-Daniel_level-10,Berzsenyi-Daniel_level-19,2,undirected
Berzsenyi-Daniel_level-10,Berzsenyi-Daniel_level-2,1,undirected
Berzsenyi-Daniel_level-10,Marton-Jozsef_level-7,1,undirected
Berzsenyi-Daniel_level-11,Berzsenyi-Daniel_level-15,5,undirected
Berzsenyi-Daniel_level-11,Berzsenyi-Daniel_level-16,4,undirected
Berzsenyi-Daniel_level-11,Berzsenyi-Daniel_level-17,4,undirected
Berzsenyi-Daniel_level-11,Berzsenyi-Daniel_level-18,1,undirected
Berzsenyi-Daniel_level-11,Berzsenyi-Daniel_level-6,2,undirected
Berzsenyi-Daniel_level-11,Berzsenyi-Daniel_level-8,2,undirected
Berzsenyi-Daniel_level-11,Berzsenyi-Daniel_level-9,3,undirected
Berzsenyi-Daniel_level-11,Dobrentei-Gabor_level-15,1,undirected
Berzsenyi-Daniel_level-11,Dobrentei-Gabor_level-17,3,undirected
Berzsenyi-Daniel_level-11,Kazinczy-Ferenc_level-12,2,undirected
Berzsenyi-Daniel_level-11,Kazinczy-Ferenc_level-3,3,undirected
Berzsenyi-Daniel_level-11,Kazinczy-Ferenc_level-6,3,undirected
Berzsenyi-Daniel_level-11,Kazinczy-Ferenc_level-8,3,undirected
Berzsenyi-Daniel_level-11,Kazinczy-Ferenc_level-9,2,undirected
Berzsenyi-Daniel_level-11,Marton-Jozsef_level-13,3,undirected
Berzsenyi-Daniel_level-11,Marton-Jozsef_level-20,1,undirected
Berzsenyi-Daniel_level-11,Szentmiklossy-Alajos_level-11,2,undirected
Berzsenyi-Daniel_level-11,Szentmiklossy-Alajos_level-3,1,undirected
Berzsenyi-Daniel_level-11,Szentmiklossy-Alajos_level-6,3,undirected
Berzsenyi-Daniel_level-11,Szentpeteri-Katalin_level-18,2,undirected
Berzsenyi-Daniel_level-12,Berzsenyi-Daniel_level-1,2,undirected
Berzsenyi-Daniel_level-12,Berzsenyi-Daniel_level-10,1,undirected
Berzsenyi-Daniel_level-12,Berzsenyi-Daniel_level-15,2,undirected
Berzsenyi-Daniel_level-12,Berzsenyi-Daniel_level-16,3,undirected
Berzsenyi-Daniel_level-13,Berzsenyi-Daniel_level-15,1,undirected
Berzsenyi-Daniel_level-13,Berzsenyi-Daniel_level-16,2,undirected
Berzsenyi-Daniel_level-13,Berzsenyi-Daniel_level-17,3,undirected
Berzsenyi-Daniel_level-13,Berzsenyi-Daniel_level-20,1,undirected
Berzsenyi-Daniel_level-14,Berzsenyi-Daniel_level-1,3,undirected
Berzsenyi-Daniel_level-14,Berzsenyi-Daniel_level-10,3,undirected
Berzsenyi-Daniel_level-14,Berzsenyi-Daniel_level-16,2,undirected
Berzsenyi-Daniel_level-14,Berzsenyi-Daniel_level-20,1,undirected
Berzsenyi-Daniel_level-15,Berzsenyi-Daniel_level-10,2,undirected
Berzsenyi-Daniel_level-15,Berzsenyi-Daniel_level-11,5,undirected
Berzsenyi-Daniel_level-15,Berzsenyi-Daniel_level-12,2,undirected
Berzsenyi-Daniel_level-15,Berzsenyi-Daniel_level-13,1,undirected
Berzsenyi-Daniel_level-15,Berzsenyi-Daniel_level-16,6,undirected
Berzsenyi-Daniel_level-15,Berzsenyi-Daniel_level-17,3,undirected
Berzsenyi-Daniel_level-15,Berzsenyi-Daniel_level-6,3,undirected
Berzsenyi-Daniel_level-15,Berzsenyi-Daniel_level-8,1,undirected
Berzsenyi-Daniel_level-15,Berzsenyi-Daniel_level-9,2,undirected
Berzsenyi-Daniel_level-15,Kazinczy-Ferenc_level-3,1,undirected
Berzsenyi-Daniel_level-15,Kazinczy-Ferenc_level-6,2,undirected
Berzsenyi-Daniel_level-15,Kazinczy-Ferenc_level-8,1,undirected
Berzsenyi-Daniel_level-15,Marton-Jozsef_level-11,3,undirected
Berzsenyi-Daniel_level-15,Marton-Jozsef_level-13,1,undirected
Berzsenyi-Daniel_level-15,Marton-Jozsef_level-18,1,undirected
Berzsenyi-Daniel_level-15,Marton-Jozsef_level-20,2,undirected
Berzsenyi-Daniel_level-15,Szentmiklossy-Alajos_level-11,3,undirected
Berzsenyi-Daniel_level-15,Szentmiklossy-Alajos_level-13,2,undirected
Berzsenyi-Daniel_level-15,Szentmiklossy-Alajos_level-17,3,undirected
Berzsenyi-Daniel_level-15,Szentmiklossy-Alajos_level-3,2,undirected
Berzsenyi-Daniel_level-15,Szentmiklossy-Alajos_level-6,2,undirected
Berzsenyi-Daniel_level-15,Szentmiklossy-Alajos_level-9,3,undirected
Berzsenyi-Daniel_level-16,Berzsenyi-Daniel_level-10,3,undirected
Berzsenyi-Daniel_level-16,Berzsenyi-Daniel_level-11,4,undirected
Berzsenyi-Daniel_level-16,Berzsenyi-Daniel_level-12,3,undirected
Berzsenyi-Daniel_level-16,Berzsenyi-Daniel_level-13,2,undirected
Berzsenyi-Daniel_level-16,Berzsenyi-Daniel_level-14,2,undirected
Berzsenyi-Daniel_level-16,Berzsenyi-Daniel_level-15,6,undirected
Berzsenyi-Daniel_level-16,Berzsenyi-Daniel_level-17,1,undirected
Berzsenyi-Daniel_level-16,Berzsenyi-Daniel_level-20,3,undirected
Berzsenyi-Daniel_level-16,Kazinczy-Ferenc_level-13,2,undirected
Berzsenyi-Daniel_level-16,Kazinczy-Ferenc_level-8,3,undirected
Berzsenyi-Daniel_level-16,Marton-Jozsef_level-15,1,undirected
Berzsenyi-Daniel_level-16,Marton-Jozsef_level-16,2,undirected
Berzsenyi-Daniel_level-16,Raday-I-Gedeon_level-10,2,undirected
Berzsenyi-Daniel_level-16,Raday-I-Gedeon_level-15,3,undirected
Berzsenyi-Daniel_level-16,Szentmiklossy-Alajos_level-11,1,undirected
Berzsenyi-Daniel_level-17,Berzsenyi-Daniel_level-10,1,undirected
Berzsenyi-Daniel_level-17,Berzsenyi-Daniel_level-11,4,undirected
Berzsenyi-Daniel_level-17,Berzsenyi-Daniel_level-13,3,undirected
Berzsenyi-Daniel_level-17,Berzsenyi-Daniel_level-15,3,undirected
Berzsenyi-Daniel_level-17,Berzsenyi-Daniel_level-16,1,undirected
Berzsenyi-Daniel_level-17,Berzsenyi-Daniel_level-18,3,undirected
Berzsenyi-Daniel_level-17,Berzsenyi-Daniel_level-20,2,undirected
Berzsenyi-Daniel_level-17,Berzsenyi-Daniel_level-6,1,undirected
Berzsenyi-Daniel_level-17,Berzsenyi-Daniel_level-7,1,undirected
Berzsenyi-Daniel_level-17,Kazinczy-Ferenc_level-10,2,undirected
Berzsenyi-Daniel_level-17,Szentmiklossy-Alajos_level-16,1,undirected
Berzsenyi-Daniel_level-17,Szentmiklossy-Alajos_level-9,2,undirected
