Source,Target,Weight,Type
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_Aldj-meg-minket.txt-jav,5,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_Az-en-jo-Istenem.txt-jav,3,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_Bocsasd-meg-Uristen-1.txt-jav,1,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_A-te-nagy-nevedert.txt-jav,5,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_Aldj-meg-minket.txt-jav,1,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_Aldott-szep-punkosdnek.txt-jav,2,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_Amely-keresztyen.txt-jav,2,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_Bocsasd-meg-Uristen-1.txt-jav,1,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_Csak-bubanat-immar.txt-jav,2,undirected
Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,Balassi-Balint_A-te-nagy-nevedert.txt-jav,2,undirected
Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,1,undirected
Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,Balassi-Balint_Bocsasd-meg-Uristen-1.txt-jav,3,undirected
Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,Balassi-Balint_Csak-bubanat-immar.txt-jav,1,undirected
Balassi-Balint_A-te-nagy-nevedert.txt-jav,Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,5,undirected
Balassi-Balint_A-te-nagy-nevedert.txt-jav,Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,2,undirected
Balassi-Balint_A-te-nagy-nevedert.txt-jav,Balassi-Balint_Adj-mar-csendesseget.txt-jav,3,undirected
Balassi-Balint_A-te-nagy-nevedert.txt-jav,Balassi-Balint_Aldott-Julia.txt-jav,1,undirected
Balassi-Balint_A-te-nagy-nevedert.txt-jav,Balassi-Balint_Csak-bubanat-immar.txt-jav,6,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,1,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Balassi-Balint_Aldott-Julia.txt-jav,3,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Toth-Istvan_Diarium-11.txt-jav,2,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Balassi-Balint_A-te-nagy-nevedert.txt-jav,3,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Balassi-Balint_Bocsasd-meg-Uristen-1.txt-jav,2,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Balassi-Balint_Bocsasd-meg-Uristen-2.txt-jav,1,undirected
Balassi-Balint_Aldj-meg-minket.txt-jav,Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,5,undirected
Balassi-Balint_Aldj-meg-minket.txt-jav,Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,1,undirected
Balassi-Balint_Aldj-meg-minket.txt-jav,Balassi-Balint_Bocsasd-meg-Uristen-1.txt-jav,2,undirected
Balassi-Balint_Aldott-Julia.txt-jav,Balassi-Balint_A-te-nagy-nevedert.txt-jav,1,undirected
Balassi-Balint_Aldott-Julia.txt-jav,Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,3,undirected
Balassi-Balint_Aldott-Julia.txt-jav,Balassi-Balint_Csak-bubanat-immar.txt-jav,2,undirected
Balassi-Balint_Aldott-Julia.txt-jav,Gergei-Albert_Argirus-historiaja-1.txt-jav,3,undirected
Balassi-Balint_Aldott-Julia.txt-jav,Toth-Istvan_Diarium-8.txt-jav,1,undirected
Balassi-Balint_Aldott-szep-punkosdnek.txt-jav,Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,2,undirected
Balassi-Balint_Aldott-szep-punkosdnek.txt-jav,Balassi-Balint_Cupido-szivemben.txt-jav,1,undirected
Balassi-Balint_Aldott-szep-punkosdnek.txt-jav,Gergei-Albert_Argirus-historiaja-3.txt-jav,3,undirected
Balassi-Balint_Amely-keresztyen.txt-jav,Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,2,undirected
Balassi-Balint_Amely-keresztyen.txt-jav,Balassi-Balint_Az-en-jo-Istenem.txt-jav,3,undirected
Balassi-Balint_Amely-keresztyen.txt-jav,Balassi-Balint_Az-en-szerelmesem.txt-jav,1,undirected
Balassi-Balint_Az-en-jo-Istenem.txt-jav,Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,3,undirected
Balassi-Balint_Az-en-jo-Istenem.txt-jav,Balassi-Balint_Amely-keresztyen.txt-jav,3,undirected
Balassi-Balint_Az-en-jo-Istenem.txt-jav,Balassi-Balint_Az-en-szerelmesem.txt-jav,2,undirected
Balassi-Balint_Az-en-jo-Istenem.txt-jav,Balassi-Balint_Beteges-lelkem.txt-jav,1,undirected
Balassi-Balint_Az-en-jo-Istenem.txt-jav,Balassi-Balint_Bizonnyal-ismerem-rajtam-most-erejet.txt-jav,2,undirected
Balassi-Balint_Az-en-jo-Istenem.txt-jav,Balassi-Balint_Bizonnyal-ismerem-rajtam-nagy-haragod.txt-jav,3,undirected
Balassi-Balint_Az-en-jo-Istenem.txt-jav,Balassi-Balint_Bocsasd-meg-Uristen-1.txt-jav,2,undirected
Balassi-Balint_Az-en-jo-Istenem.txt-jav,Balassi-Balint_Csokolvan-e-minap.txt-jav,2,undirected
Balassi-Balint_Az-en-jo-Istenem.txt-jav,Toth-Istvan_Diarium-10.txt-jav,3,undirected
Balassi-Balint_Az-en-szerelmesem.txt-jav,Balassi-Balint_Amely-keresztyen.txt-jav,1,undirected
Balassi-Balint_Az-en-szerelmesem.txt-jav,Balassi-Balint_Az-en-jo-Istenem.txt-jav,2,undirected
Balassi-Balint_Az-en-szerelmesem.txt-jav,Balassi-Balint_Bezzeg-nagy-bolondsag.txt-jav,1,undirected
Balassi-Balint_Az-en-szerelmesem.txt-jav,Balassi-Balint_Csak-bubanat-immar.txt-jav,5,undirected
Balassi-Balint_Az-en-szerelmesem.txt-jav,Balassi-Balint_Csodalvan-egy-furdot.txt-jav,2,undirected
