Source,Target,Weight,Type
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,8,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_Aldj-meg-minket.txt-jav,14,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_Aldott-szep-punkosdnek.txt-jav,1,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_Amely-keresztyen.txt-jav,4,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_Az-en-jo-Istenem.txt-jav,29,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_Bizonnyal-ismerem-rajtam-most-erejet.txt-jav,1,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_Bizonnyal-ismerem-rajtam-nagy-haragod.txt-jav,24,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_Bocsasd-meg-Uristen-1.txt-jav,3,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_Csak-bubanat-immar.txt-jav,2,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_Csodalvan-egy-furdot.txt-jav,2,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Gergei-Albert_Argirus-historiaja-1.txt-jav,2,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Toth-Istvan_Diarium-10.txt-jav,6,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Toth-Istvan_Diarium-11.txt-jav,5,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,5,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_A-te-nagy-nevedert.txt-jav,37,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_Adj-mar-csendesseget.txt-jav,1,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_Aldj-meg-minket.txt-jav,6,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_Aldott-szep-punkosdnek.txt-jav,3,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_Amely-keresztyen.txt-jav,5,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_Bocsasd-meg-Uristen-1.txt-jav,1,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_Csak-bubanat-immar.txt-jav,21,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_Csokolvan-e-minap.txt-jav,7,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Gergei-Albert_Argirus-historiaja-2.txt-jav,2,undirected
Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,8,undirected
Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,5,undirected
Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,Balassi-Balint_A-te-nagy-nevedert.txt-jav,29,undirected
Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,6,undirected
Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,Balassi-Balint_Aldott-Julia.txt-jav,1,undirected
Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,Balassi-Balint_Bocsasd-meg-Uristen-1.txt-jav,10,undirected
