"Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav" "Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav" "Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav" "Balassi-Balint_A-te-nagy-nevedert.txt-jav" "Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav" "Balassi-Balint_Adj-mar-csendesseget.txt-jav" "Balassi-Balint_Aldj-meg-minket.txt-jav" "Balassi-Balint_Aldott-Julia.txt-jav" "Balassi-Balint_Aldott-szep-punkosdnek.txt-jav" "Balassi-Balint_Amely-keresztyen.txt-jav" "Balassi-Balint_Az-en-jo-Istenem.txt-jav" "Balassi-Balint_Az-en-szerelmesem.txt-jav" "Balassi-Balint_Beteges-lelkem.txt-jav" "Balassi-Balint_Bezzeg-nagy-bolondsag.txt-jav" "Balassi-Balint_Bizonnyal-ismerem-rajtam-most-erejet.txt-jav" "Balassi-Balint_Bizonnyal-ismerem-rajtam-nagy-haragod.txt-jav" "Balassi-Balint_Bocsasd-meg-Uristen-1.txt-jav" "Balassi-Balint_Bocsasd-meg-Uristen-2.txt-jav" "Balassi-Balint_Cupido-szivemben.txt-jav" "Balassi-Balint_Csak-bubanat-immar.txt-jav" "Balassi-Balint_Csodalvan-egy-furdot.txt-jav" "Balassi-Balint_Csokolvan-e-minap.txt-jav" "Gergei-Albert_Argirus-historiaja-1.txt-jav" "Gergei-Albert_Argirus-historiaja-2.txt-jav" "Gergei-Albert_Argirus-historiaja-3.txt-jav" "Toth-Istvan_Diarium-1.txt-jav" "Toth-Istvan_Diarium-10.txt-jav" "Toth-Istvan_Diarium-11.txt-jav" "Toth-Istvan_Diarium-12.txt-jav" "Toth-Istvan_Diarium-2.txt-jav" "Toth-Istvan_Diarium-3.txt-jav" "Toth-Istvan_Diarium-4.txt-jav" "Toth-Istvan_Diarium-5.txt-jav" "Toth-Istvan_Diarium-6.txt-jav" "Toth-Istvan_Diarium-7.txt-jav" "Toth-Istvan_Diarium-8.txt-jav" "Toth-Istvan_Diarium-9.txt-jav" "Zrinyi-Miklos_Arianna-sirasa.txt-jav" "Zrinyi-Miklos_Fantasia-poetica.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-1.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-10.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-11.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-12.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-13.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-14.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-15.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-2.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-3.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-4.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-5.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-6.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-7.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-8.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-9.txt-jav" "Zrinyi-Miklos_Orfeus-es-Euridice.txt-jav"
"„" 2.9673590504451 7.96019900497512 2.66666666666667 7.8125 2.82131661442006 6.87830687830688 3.94736842105263 4.73118279569892 2.58620689655172 6.62650602409639 5.54371002132196 6.46153846153846 4.49438202247191 4.13223140495868 4.99108734402852 5.53846153846154 2.56410256410256 2.89256198347107 3.35731414868106 5.87349397590361 3.06122448979592 6.25 3.87855666825624 4.77611940298507 4.31266846361186 2.04495210022108 3.44726847794332 2.45167373880245 3.19634703196347 2.08768267223382 2.32137473620742 2.55972696245734 2.68059972739664 1.9122003770536 2.23300970873786 2.9373081981587 2.6635784597568 3.88500388500389 2.22757375075256 2.10851841439415 2.64114368790889 2.12187159956474 3.02958015267176 2.82993916953187 2.98436759829465 2.76338514680484 2.53125953034462 2.76346604215457 2.36344537815126 2.57289879931389 2.19369894982497 2.65748031496063 2.58503401360544 2.69021739130435 3.7719298245614
"t" 1.78041543026706 0.497512437810945 0.533333333333333 1.04166666666667 0.313479623824451 2.11640211640212 0 2.79569892473118 2.58620689655172 3.01204819277108 1.91897654584222 3.38461538461538 3.08988764044944 3.30578512396694 1.24777183600713 0.923076923076923 3.15581854043393 3.30578512396694 1.91846522781775 0.753012048192771 4.08163265306122 1.25 1.90748688602766 1.64179104477612 1.88679245283019 2.04495210022108 1.19777972538709 1.27298444130127 2.13089802130898 2.25469728601253 1.59782936388303 2.73037542662116 1.45388459791004 1.69674117963911 1.3915857605178 1.62209557211749 2.05558772437753 3.10800310800311 1.74593618302228 2.13663199325274 3.63460140537921 2.66594124047878 2.17080152671756 2.51256281407035 2.48697299857887 2.73871206513694 2.31777981091796 2.38875878220141 3.17752100840336 2.45854774156661 2.68378063010502 3.00196850393701 2.0952380952381 2.33695652173913 1.92982456140351
"n" 0.890207715133531 2.98507462686567 2.13333333333333 2.60416666666667 3.13479623824451 2.64550264550265 1.31578947368421 1.72043010752688 2.1551724137931 2.40963855421687 1.49253731343284 2.15384615384615 3.08988764044944 2.89256198347107 1.06951871657754 0.923076923076923 3.55029585798817 3.71900826446281 1.67865707434053 2.56024096385542 3.06122448979592 3.125 1.74852964552535 2.08955223880597 1.75202156334232 1.93441414885777 2.22027461291265 1.74446016030174 2.3972602739726 2.17118997912317 2.44196563159481 1.87713310580205 2.044525215811 2.1545919741449 1.90938511326861 2.58658483121438 2.17139548349739 1.63170163170163 1.14388922335942 1.79926904694968 2.59268233583717 1.82263329706202 2.45706106870229 1.9307061623909 1.53955471340597 1.92450037009623 1.79932906373894 1.92037470725995 1.94327731092437 2.02973127501429 1.91365227537923 2.06692913385827 2.80272108843537 1.4945652173913 2.28070175438596
"az" 0.29673590504451 0.497512437810945 0 0.520833333333333 0.626959247648903 0 0.657894736842105 0.21505376344086 0.862068965517241 0.602409638554217 0.852878464818763 0.923076923076923 1.12359550561798 0.826446280991736 0.35650623885918 0.615384615384615 0.788954635108481 1.03305785123967 0 0.602409638554217 0.510204081632653 0.9375 1.70084247337466 1.19402985074627 1.48247978436658 0.939572586588062 0.730353491089687 0.66006600660066 0.989345509893455 0.876826722338205 0.813988543864938 0.750853242320819 0.590640617900954 0.942633988688392 1.19741100323625 1.13985094256905 0.926462072958888 1.63170163170163 2.64900662251656 2.69890357042452 2.30191422340683 1.82263329706202 1.95610687022901 1.9307061623909 2.67645665561345 2.83740439180854 2.37877401646844 2.62295081967213 2.62605042016807 2.40137221269297 2.63710618436406 2.18996062992126 2.25850340136054 2.5 2.10526315789474
"s" 0.593471810089021 1.49253731343284 1.06666666666667 1.04166666666667 2.19435736677116 1.05820105820106 0.657894736842105 1.72043010752688 0 4.81927710843374 3.41151385927505 1.23076923076923 0.842696629213483 1.2396694214876 0.53475935828877 1.53846153846154 0.19723865877712 0.206611570247934 0.719424460431655 1.35542168674699 1.53061224489796 0.3125 0.413288825305993 0.895522388059702 0.269541778975741 2.32129697862933 2.42477359041776 2.68741159830269 2.05479452054795 1.83716075156576 2.41181790774796 2.15017064846416 2.40799636528851 2.01992997576084 2.00647249190939 2.14818062253398 2.22929936305732 1.32090132090132 1.08368452739314 1.20888389091931 1.84153137872547 1.06093579978237 1.50286259541985 1.50753768844221 1.39744197063003 1.33234641006662 0.975907288807563 0.960187353629977 1.07668067226891 1.57232704402516 1.5169194865811 1.40255905511811 1.63265306122449 1.30434782608696 0.789473684210526
"l" 1.48367952522255 0.497512437810945 2.13333333333333 0.520833333333333 0 0.529100529100529 0.657894736842105 1.72043010752688 1.29310344827586 2.40963855421687 1.27931769722815 0.615384615384615 1.40449438202247 0.413223140495868 1.24777183600713 2.46153846153846 0.986193293885602 1.2396694214876 0.479616306954436 0.903614457831325 2.55102040816327 1.5625 0.778890478461294 0.746268656716418 1.61725067385445 1.28960943257185 1.48992112182296 1.46157472890146 2.09284627092846 1.12734864300626 1.05517033463973 1.56996587030717 1.72648796001817 1.77753837866954 1.19741100323625 1.09601052170101 1.65026056745802 2.02020202020202 2.4683925346177 0.927748102333427 2.15653016719166 1.79542981501632 1.62213740458015 1.24305739222428 2.202747513027 1.80113496175672 1.49435803598658 1.54566744730679 1.57563025210084 1.2292738707833 1.4002333722287 1.77165354330709 1.30612244897959 1.79347826086957 1.75438596491228
"Â" 0.29673590504451 0 0 0 0.940438871473354 0.529100529100529 0.657894736842105 0.645161290322581 0.431034482758621 1.80722891566265 1.70575692963753 1.23076923076923 1.96629213483146 0.826446280991736 1.60427807486631 0 0.788954635108481 1.03305785123967 1.91846522781775 0 0 0 1.38292799237005 1.7910447761194 0.404312668463612 0.976418570375829 0.905638328951212 0.66006600660066 1.06544901065449 0.751565762004175 1.14561350618028 1.22866894197952 0.681508405270332 0.646377592243469 0.970873786407767 0.569925471284524 0.926462072958888 2.02020202020202 1.98675496688742 1.7430418892325 1.96268475890477 1.25136017410229 1.76526717557252 1.69267389579476 2.03694931312174 2.59067357512953 1.89082037206465 1.56908665105386 1.6281512605042 1.80102915951973 1.5169194865811 1.5009842519685 1.93197278911565 1.54891304347826 2.10526315789474
"nem" 0.593471810089021 0 0.8 0.520833333333333 0.626959247648903 1.58730158730159 0 0.645161290322581 0 1.20481927710843 1.06609808102345 2.15384615384615 1.12359550561798 3.30578512396694 1.7825311942959 1.23076923076923 0.591715976331361 1.03305785123967 1.43884892086331 2.10843373493976 0.510204081632653 0.3125 1.58957240502305 0.746268656716418 1.34770889487871 0.755342667649226 0.642711072158925 0.848656294200849 0.76103500761035 1.00208768267223 0.844136267711788 0.784982935153584 1.18128123580191 1.2119579854565 1.42394822006472 0.745287154756686 1.10017371163868 1.32090132090132 2.16736905478627 1.57436041608097 0.87230433729101 1.30576713819369 1.33587786259542 1.48108965882042 1.01847465656087 0.962250185048113 1.03690149435804 1.75644028103044 1.26050420168067 1.05774728416238 1.28354725787631 1.10728346456693 1.27891156462585 1.57608695652174 2.54385964912281
"sz„" 0.890207715133531 1.99004975124378 3.2 2.60416666666667 2.19435736677116 1.05820105820106 0 1.93548387096774 3.01724137931034 2.40963855421687 0.426439232409382 1.23076923076923 1.40449438202247 2.47933884297521 1.24777183600713 0.615384615384615 1.77514792899408 1.65289256198347 2.87769784172662 1.50602409638554 3.06122448979592 2.1875 2.11413129868065 1.56716417910448 3.77358490566038 0.865880619012528 0.759567630733275 0.895803866100896 0.837138508371385 1.29436325678497 0.874283991558637 0.955631399317406 0.954111767378464 0.969566388365203 0.776699029126214 1.00832967996493 0.636942675159236 1.47630147630148 1.68573148705599 1.15265673320214 0.654228252968258 1.03373231773667 1.33587786259542 1.34884951071145 0.663192799621033 1.28300024673082 1.46386093321135 1.12412177985948 1.12920168067227 1.17209834190966 0.980163360560093 0.861220472440945 1.19727891156463 0.760869565217391 2.10526315789474
"k" 0 0.497512437810945 0 0 2.19435736677116 0 0.657894736842105 1.72043010752688 1.72413793103448 0 0.639658848614073 0.307692307692308 1.40449438202247 1.2396694214876 0.53475935828877 0.307692307692308 0.19723865877712 0.206611570247934 0.479616306954436 0.301204819277108 0 0.9375 0.794786202511524 0.746268656716418 0.673854447439353 1.03168754605748 0.496640373940987 0.754361150400754 0.646879756468798 0.709812108559499 1.32649984926138 1.0580204778157 0.908677873693776 1.80447077834635 1.06796116504854 1.05217010083297 1.3317892298784 0.466200466200466 0.120409391932571 1.37756536407085 0.944996365398595 1.4145810663765 0.906488549618321 1.32240148108966 1.13690194220748 1.01159634838391 1.03690149435804 1.26463700234192 1.28676470588235 0.886220697541452 1.5169194865811 1.42716535433071 0.870748299319728 1.4945652173913 0.701754385964912
