Source,Target,Weight,Type
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,1,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_Aldott-Julia.txt-jav,6,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_Bocsasd-meg-Uristen-1.txt-jav,4,undirected
Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,Balassi-Balint_Bocsasd-meg-Uristen-2.txt-jav,2,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_Az-en-szerelmesem.txt-jav,2,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Balassi-Balint_Bizonnyal-ismerem-rajtam-nagy-haragod.txt-jav,4,undirected
Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav,Gergei-Albert_Argirus-historiaja-2.txt-jav,1,undirected
Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,1,undirected
Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,graphEDGES.csv,1,undirected
Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,table_with_frequencies,3,undirected
Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,wordlist,2,undirected
Balassi-Balint_A-te-nagy-nevedert.txt-jav,Balassi-Balint_Cupido-szivemben.txt-jav,3,undirected
Balassi-Balint_A-te-nagy-nevedert.txt-jav,table_with_frequencies,2,undirected
Balassi-Balint_A-te-nagy-nevedert.txt-jav,wordlist,1,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav,1,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav,1,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Balassi-Balint_Adj-mar-csendesseget.txt-jav,3,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Balassi-Balint_Aldj-meg-minket.txt-jav,2,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Balassi-Balint_Aldott-Julia.txt-jav,2,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Balassi-Balint_Aldott-szep-punkosdnek.txt-jav,3,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Balassi-Balint_Amely-keresztyen.txt-jav,1,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Balassi-Balint_Az-en-jo-Istenem.txt-jav,1,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Balassi-Balint_Az-en-szerelmesem.txt-jav,2,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Balassi-Balint_Bizonnyal-ismerem-rajtam-most-erejet.txt-jav,2,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Balassi-Balint_Cupido-szivemben.txt-jav,3,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Balassi-Balint_Csodalvan-egy-furdot.txt-jav,3,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,table_with_frequencies,2,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Toth-Istvan_Diarium-2.txt-jav,2,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Toth-Istvan_Diarium-3.txt-jav,1,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Toth-Istvan_Diarium-8.txt-jav,2,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Toth-Istvan_Diarium-9.txt-jav,3,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,wordlist,2,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Zrinyi-Miklos_Arianna-sirasa.txt-jav,3,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Zrinyi-Miklos_Fantasia-poetica.txt-jav,2,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Zrinyi-Miklos_Obsidionis-Szigethianc-1.txt-jav,3,undirected
Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,Zrinyi-Miklos_Obsidionis-Szigethianc-8.txt-jav,1,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,3,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Balassi-Balint_Adj-mar-csendesseget.txt-jav,6,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Balassi-Balint_Aldj-meg-minket.txt-jav,5,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Balassi-Balint_Aldott-Julia.txt-jav,1,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Balassi-Balint_Aldott-szep-punkosdnek.txt-jav,2,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Balassi-Balint_Amely-keresztyen.txt-jav,4,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Balassi-Balint_Az-en-szerelmesem.txt-jav,1,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Balassi-Balint_Bezzeg-nagy-bolondsag.txt-jav,3,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Balassi-Balint_Bizonnyal-ismerem-rajtam-most-erejet.txt-jav,1,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Balassi-Balint_Cupido-szivemben.txt-jav,2,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Balassi-Balint_Csodalvan-egy-furdot.txt-jav,2,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,stylo_config,3,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,table_with_frequencies,1,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Toth-Istvan_Diarium-2.txt-jav,1,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Toth-Istvan_Diarium-8.txt-jav,1,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Toth-Istvan_Diarium-9.txt-jav,2,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,wordlist,1,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Zrinyi-Miklos_Arianna-sirasa.txt-jav,2,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Zrinyi-Miklos_Fantasia-poetica.txt-jav,1,undirected
Balassi-Balint_Adj-mar-csendesseget.txt-jav,Zrinyi-Miklos_Obsidionis-Szigethianc-1.txt-jav,2,undirected
Balassi-Balint_Aldj-meg-minket.txt-jav,Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav,2,undirected
Balassi-Balint_Aldj-meg-minket.txt-jav,Balassi-Balint_Adj-mar-csendesseget.txt-jav,5,undirected
Balassi-Balint_Aldj-meg-minket.txt-jav,Balassi-Balint_Aldj-meg-minket.txt-jav,4,undirected
